cluster	gene
ALZ	RELB
ALZ	RGS5
ALZ	RIMBP3C
ALZ	RIN3
ALZ	RNF114
ALZ	RNF167
ALZ	RNF216
ALZ	RNF43
ALZ	RORA
ALZ	RPAIN
ALZ	RPH3A
ALZ	RPN1
ALZ	RPS6KL1
ALZ	RRBP1
ALZ	RSPH6A
ALZ	SAP18
ALZ	SCARA3
ALZ	SCIMP
ALZ	SDCBP2-AS1
ALZ	SDF2L1
ALZ	SERPINE1
ALZ	SH2D4B
ALZ	SH3YL1
ALZ	SIGLEC15
ALZ	SIGLECL1
ALZ	SIX5
ALZ	SKA3
ALZ	SKI
ALZ	SLC14A1
ALZ	SLC24A4
ALZ	SLC25A11
ALZ	SLC2A11
ALZ	SLC2A12
ALZ	SLC35D1
ALZ	SLC39A13
ALZ	SLC4A9
ALZ	SLC52A1
ALZ	SLC9A3
ALZ	SLC9A8
ALZ	SLC9A9
ALZ	SLC9A9-AS1
ALZ	SMARCB1
ALZ	SMYD3
ALZ	SNAI1
ALZ	SNORA2B
ALZ	SNORD67
ALZ	SNRPD2
ALZ	SNX19
ALZ	SNX29
ALZ	SNX5
ALZ	SOX7
ALZ	SPAG7
ALZ	SPATA2
ALZ	SPATA7
ALZ	SPDYE3
ALZ	SPI1
ALZ	SPPL2A
ALZ	SSBP4
ALZ	STAG3
ALZ	STBD1
ALZ	STYK1
ALZ	SUCNR1
ALZ	SUPT4H1
ALZ	SYMPK
ALZ	TAS2R41
ALZ	TAS2R60
ALZ	TATDN3
ALZ	TBC1D7
ALZ	TBKBP1
ALZ	TCERG1L
ALZ	TEAD1
ALZ	THSD7B
ALZ	TLL2
ALZ	TMED7
ALZ	TMED7-TICAM2
ALZ	TMED9
ALZ	TMEM156
ALZ	TMEM163
ALZ	TMEM189-UBE2V1
ALZ	TMEM254
ALZ	TMEM254-AS1
ALZ	TMEM71
ALZ	TMPRSS11A
ALZ	TMPRSS11BNL
ALZ	TMPRSS11F
ALZ	TMPRSS11GP
ALZ	TNFRSF21
ALZ	TOMM40
ALZ	TP53INP1
ALZ	TRAM1
ALZ	TRAPPC6A
ALZ	TRIM35
ALZ	TRIT1
ALZ	TRPM7
ALZ	TSKU
ALZ	TSPAN4
ALZ	UBE2L3
ALZ	USP10
ALZ	USP50
ALZ	USP6
ALZ	USP8
ALZ	VAC14
ALZ	VAC14-AS1
ALZ	VARS
ALZ	VGF
ALZ	VTRNA1-1
ALZ	VTRNA1-2
ALZ	VTRNA1-3
ALZ	VWA7
ALZ	WDR47
ALZ	WDR55
ALZ	XKR9
ALZ	YDJC
ALZ	YLPM1
ALZ	ZFP3
ALZ	ZFP64
ALZ	ZMAT2
ALZ	ZNF232
ALZ	ZNF296
ALZ	ZNF366
ALZ	ZNF594
ALZ	ZNF638
ALZ	ZNF652
ALZ	ZNF710
ALZ	ZYX
ADHD	ABL1
ADHD	ABLIM1
ADHD	ADAMTS17
ADHD	ADAMTSL1
ADHD	ADARB1
ADHD	ADCK1
ADHD	ADD2
ADHD	AGO2
ADHD	AKAP11
ADHD	AKAP6
ADHD	ALDH1L1
ADHD	ALDH1L1-AS1
ADHD	ALDH2
ADHD	ALG1L
ADHD	ALG2
ADHD	ALS2CR8
ADHD	AMIGO3
ADHD	ANK3
ADHD	ANKRD30BP3
ADHD	ANO10
ADHD	ANP32D
ADHD	ANTXR2
ADHD	ANXA2R
ADHD	ANXA5
ADHD	APEH
ADHD	APOF
ADHD	ARHGAP39
ADHD	ARHGEF7
ADHD	ARID5B
ADHD	ARL4A
ADHD	ARNT2
ADHD	ARTN
ADHD	ASF1B
ADHD	ASTN2
ADHD	ATP5G1
ADHD	ATP6V0B
ADHD	ATRNL1
ADHD	ATXN1
ADHD	ATXN2
ADHD	AUH
ADHD	AURKA
ADHD	AUTS2
ADHD	B4GALT2
ADHD	BACE2
ADHD	BAK1
ADHD	BAZ2B
ADHD	BBX
ADHD	BLOC1S2
ADHD	BSN
ADHD	BSN-AS2
ADHD	BTBD18
ADHD	BTBD2
ADHD	C10orf90
ADHD	C11orf31
ADHD	C12orf54
ADHD	C14orf178
ADHD	C14orf39
ADHD	C19orf18
ADHD	C1orf210
ADHD	C2orf72
ADHD	C2orf82
ADHD	C6orf106
ADHD	C8orf74
ADHD	C8orf82
ADHD	C9orf64
ADHD	CACNA1C
ADHD	CACNA1D
ADHD	CACNA2D1
ADHD	CACNG1
ADHD	CACNG4
ADHD	CACNG5
ADHD	CADM2
ADHD	CALCOCO2
ADHD	CALN1
ADHD	CAMKV
ADHD	CAMTA1
ADHD	CAPZA2
ADHD	CASS4
ADHD	CATSPER4
ADHD	CAV3
ADHD	CCDC167
ADHD	CCDC171
ADHD	CCDC36
ADHD	CCDC42
ADHD	CCDC71
ADHD	CD151
ADHD	CD40
ADHD	CDC20
ADHD	CDH22
ADHD	CDH8
ADHD	CDHR4
ADHD	CEBPA
ADHD	CEBPA-AS1
ADHD	CEND1
ADHD	CEP95
ADHD	CHRM3
ADHD	CISD2
ADHD	CLIC5
ADHD	CLP1
ADHD	CLSTN2
ADHD	CNGB1
ADHD	CNKSR1
ADHD	CNPY2
ADHD	CNTNAP2
ADHD	COG6
ADHD	COL19A1
